epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.479,1.55005,2.01349,1.14434,0.99063,1,0.995,0.84583,0.63072,0.95971,0.90769,0.000650794,0.000650794,0.000650794
2,428.912,0.88107,0.76506,0.87329,0.9991,1,0.995,0.85148,0.58048,0.6207,0.8463,0.00130877,0.00130877,0.00130877
3,621.132,0.70073,0.62418,0.83692,0.99954,1,0.995,0.90153,0.48325,0.49085,0.8264,0.00195794,0.00195794,0.00195794
4,811.17,0.64639,0.54088,0.83289,0.99937,1,0.995,0.89161,0.56022,0.50329,0.84109,0.0019604,0.0019604,0.0019604
5,1003.34,0.61969,0.4895,0.82115,0.9994,1,0.995,0.87106,0.62578,0.47714,0.83321,0.0019472,0.0019472,0.0019472
6,1194.83,0.54705,0.43389,0.81454,0.99944,1,0.995,0.84353,0.59398,0.42033,0.84244,0.001934,0.001934,0.001934
7,1451.44,0.54122,0.40687,0.80748,0.99939,1,0.995,0.89361,0.47841,0.36867,0.82621,0.0019208,0.0019208,0.0019208
8,1650.11,0.51252,0.38543,0.80714,0.99976,1,0.995,0.8905,0.51422,0.35128,0.82635,0.0019076,0.0019076,0.0019076
9,1856.1,0.47556,0.35373,0.80385,0.99977,1,0.995,0.92034,0.37891,0.31369,0.80642,0.0018944,0.0018944,0.0018944
10,2054.17,0.51424,0.34664,0.80765,0.99975,1,0.995,0.9005,0.41483,0.29379,0.80769,0.0018812,0.0018812,0.0018812
11,2251.46,0.47422,0.32686,0.80148,0.99978,1,0.995,0.93871,0.38499,0.27448,0.80562,0.001868,0.001868,0.001868
12,2447.97,0.47058,0.32154,0.80444,0.99976,1,0.995,0.90464,0.42036,0.2834,0.81127,0.0018548,0.0018548,0.0018548
13,2643.91,0.44128,0.30338,0.80166,0.99976,1,0.995,0.94809,0.32246,0.22921,0.80652,0.0018416,0.0018416,0.0018416
14,2842.57,0.45664,0.30045,0.79838,0.99971,1,0.995,0.90442,0.39442,0.25276,0.80989,0.0018284,0.0018284,0.0018284
15,3043.8,0.43603,0.28905,0.8003,0.99978,1,0.995,0.90738,0.42342,0.2477,0.81316,0.0018152,0.0018152,0.0018152
16,3261.79,0.44387,0.29918,0.79844,0.99966,1,0.995,0.94929,0.35879,0.24646,0.80652,0.001802,0.001802,0.001802
17,3486.57,0.43149,0.28473,0.79823,0.99978,1,0.995,0.92977,0.37289,0.26835,0.81042,0.0017888,0.0017888,0.0017888
