epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.356,0.68481,0.34333,0.81781,0.99329,0.9964,0.995,0.81383,0.79875,0.3779,0.81825,0.000362776,0.000362776,0.000362776
2,699.498,0.66897,0.3401,0.81443,0.98711,0.99904,0.995,0.83362,0.75919,0.36976,0.81253,0.00072827,0.00072827,0.00072827
3,1027.56,0.67718,0.35482,0.81174,0.99417,1,0.995,0.83894,0.79884,0.37925,0.81506,0.00108888,0.00108888,0.00108888
4,1369.37,0.68494,0.35655,0.81391,0.99546,0.99903,0.995,0.84432,0.77819,0.36111,0.81315,0.001089,0.001089,0.001089
5,1702.99,0.68062,0.35045,0.80966,0.99321,1,0.995,0.84139,0.758,0.36261,0.81272,0.00108167,0.00108167,0.00108167
6,2029.04,0.69955,0.36186,0.80984,0.9957,1,0.995,0.85049,0.73299,0.3542,0.80888,0.00107434,0.00107434,0.00107434
7,2353.98,0.68455,0.35182,0.80832,0.99509,1,0.995,0.85174,0.73006,0.36264,0.80965,0.001067,0.001067,0.001067
8,2680.68,0.67656,0.3459,0.81057,0.9954,1,0.995,0.86269,0.73534,0.3503,0.80971,0.00105967,0.00105967,0.00105967
9,3037.97,0.65805,0.34213,0.8093,0.99621,1,0.995,0.8475,0.74684,0.35515,0.81255,0.00105234,0.00105234,0.00105234
10,3359.6,0.67241,0.34286,0.81346,0.9955,0.99902,0.995,0.83655,0.76546,0.34824,0.81239,0.00104501,0.00104501,0.00104501
11,3693.64,0.66361,0.34035,0.8115,0.99467,1,0.995,0.86006,0.73697,0.3485,0.81059,0.00103767,0.00103767,0.00103767
12,4039.84,0.6852,0.34611,0.80684,0.99618,1,0.995,0.85694,0.75574,0.35475,0.81081,0.00103034,0.00103034,0.00103034
13,4389.22,0.67377,0.34165,0.81099,0.99669,0.99972,0.995,0.86321,0.71724,0.33659,0.80767,0.00102301,0.00102301,0.00102301
14,4728.41,0.66806,0.33518,0.80726,0.99444,1,0.995,0.8591,0.73232,0.35971,0.80716,0.00101568,0.00101568,0.00101568
15,5057.82,0.66478,0.33451,0.80782,0.99587,1,0.995,0.85591,0.742,0.34593,0.80902,0.00100834,0.00100834,0.00100834
16,5402.27,0.65696,0.33176,0.80626,0.99608,1,0.995,0.86391,0.72194,0.34835,0.80799,0.00100101,0.00100101,0.00100101
17,5757.24,0.6708,0.34176,0.80884,0.99656,0.99909,0.995,0.85462,0.73233,0.34615,0.80839,0.000993678,0.000993678,0.000993678
18,6121.81,0.65105,0.33442,0.80713,0.9954,1,0.995,0.85417,0.76034,0.35365,0.81014,0.000986346,0.000986346,0.000986346
19,6470.46,0.64137,0.32977,0.8062,0.99621,0.99997,0.995,0.86401,0.71658,0.33055,0.80853,0.000979013,0.000979013,0.000979013
20,6816.02,0.65843,0.33047,0.80553,0.99577,1,0.995,0.86249,0.71682,0.34005,0.80715,0.000971681,0.000971681,0.000971681
21,7158.21,0.65346,0.33075,0.80736,0.99589,0.99987,0.995,0.86293,0.73087,0.33736,0.81098,0.000964348,0.000964348,0.000964348
22,7519.06,0.67025,0.33658,0.8088,0.9958,1,0.995,0.85202,0.71883,0.33446,0.80862,0.000957015,0.000957015,0.000957015
23,7867.82,0.65526,0.33019,0.80745,0.99585,1,0.995,0.86104,0.75234,0.33884,0.80864,0.000949683,0.000949683,0.000949683
24,8186.14,0.66557,0.33582,0.80633,0.99581,1,0.995,0.85575,0.78308,0.34892,0.81248,0.00094235,0.00094235,0.00094235
25,8508.7,0.65693,0.33244,0.8076,0.9962,1,0.995,0.85361,0.73548,0.34137,0.80921,0.000935018,0.000935018,0.000935018
26,8829.17,0.64949,0.33096,0.8099,0.9951,1,0.995,0.82983,0.82882,0.35302,0.81581,0.000927685,0.000927685,0.000927685
27,9143.39,0.66144,0.33445,0.80834,0.99469,1,0.995,0.86337,0.76301,0.33925,0.80989,0.000920352,0.000920352,0.000920352
28,9472.71,0.65255,0.32587,0.80983,0.99482,1,0.995,0.86089,0.75511,0.33678,0.80968,0.00091302,0.00091302,0.00091302
29,9806.44,0.64878,0.32374,0.80617,0.99625,1,0.995,0.8634,0.71768,0.33609,0.8081,0.000905687,0.000905687,0.000905687
30,10138.1,0.65705,0.32957,0.80856,0.9853,0.99937,0.995,0.85496,0.78441,0.34288,0.81357,0.000898355,0.000898355,0.000898355
31,10471.9,0.64006,0.32557,0.80842,0.98576,1,0.995,0.86643,0.71529,0.33571,0.80897,0.000891022,0.000891022,0.000891022
32,10818,0.63627,0.32179,0.80739,0.99149,1,0.995,0.869,0.72875,0.33082,0.80846,0.000883689,0.000883689,0.000883689
33,11146.5,0.6446,0.32231,0.80749,0.99597,0.99983,0.995,0.86975,0.7288,0.32979,0.80848,0.000876357,0.000876357,0.000876357
34,11472.2,0.63145,0.31632,0.80872,0.99528,1,0.995,0.86892,0.7247,0.32603,0.80829,0.000869024,0.000869024,0.000869024
35,11810.9,0.63945,0.3236,0.80485,0.9963,1,0.995,0.87176,0.72395,0.33247,0.80692,0.000861692,0.000861692,0.000861692
36,12160.3,0.63967,0.32896,0.80509,0.9958,1,0.995,0.86354,0.73474,0.33974,0.80783,0.000854359,0.000854359,0.000854359
37,12488.8,0.64376,0.32294,0.8084,0.99728,1,0.995,0.87957,0.71087,0.33251,0.80861,0.000847026,0.000847026,0.000847026
38,12828.2,0.63399,0.32054,0.80544,0.99483,1,0.995,0.86134,0.74922,0.34097,0.81102,0.000839694,0.000839694,0.000839694
39,13149.4,0.64003,0.32297,0.80618,0.99632,1,0.995,0.87009,0.72962,0.33038,0.80742,0.000832361,0.000832361,0.000832361
40,13487.1,0.62796,0.31905,0.80482,0.99596,1,0.995,0.8615,0.72741,0.33268,0.80878,0.000825029,0.000825029,0.000825029
41,13837.4,0.62798,0.3218,0.80145,0.9968,1,0.995,0.86286,0.73975,0.33617,0.81051,0.000817696,0.000817696,0.000817696
42,14190,0.62264,0.31424,0.8062,0.99552,1,0.995,0.87175,0.72711,0.32044,0.80789,0.000810363,0.000810363,0.000810363
43,14518.3,0.63605,0.318,0.8085,0.99514,1,0.995,0.86402,0.71193,0.33245,0.80523,0.000803031,0.000803031,0.000803031
44,14844.5,0.62059,0.31916,0.80415,0.99649,1,0.995,0.86752,0.7269,0.32671,0.80802,0.000795698,0.000795698,0.000795698
45,15181.8,0.61959,0.31348,0.80267,0.99658,1,0.995,0.86775,0.71332,0.31964,0.80796,0.000788366,0.000788366,0.000788366
46,15505.8,0.62226,0.31179,0.80542,0.99612,1,0.995,0.87782,0.73015,0.33217,0.80956,0.000781033,0.000781033,0.000781033
47,15834.5,0.62356,0.31426,0.8038,0.99636,1,0.995,0.86333,0.73825,0.33822,0.80945,0.0007737,0.0007737,0.0007737
48,16158.7,0.6245,0.31707,0.80522,0.99696,1,0.995,0.86056,0.74256,0.33145,0.80907,0.000766368,0.000766368,0.000766368
49,16533,0.61603,0.31129,0.80148,0.99645,1,0.995,0.86005,0.77231,0.33749,0.81359,0.000759035,0.000759035,0.000759035
50,16909.1,0.60651,0.30307,0.80429,0.99604,1,0.995,0.86368,0.7571,0.33148,0.8104,0.000751703,0.000751703,0.000751703
51,17273,0.60152,0.30152,0.80093,0.99649,1,0.995,0.87272,0.73435,0.31949,0.81084,0.00074437,0.00074437,0.00074437
52,17599.4,0.61118,0.30344,0.80456,0.99654,1,0.995,0.87615,0.72594,0.31871,0.80752,0.000737037,0.000737037,0.000737037
53,17918.8,0.61728,0.30719,0.80319,0.99641,1,0.995,0.87165,0.72874,0.32634,0.80744,0.000729705,0.000729705,0.000729705
54,18246.8,0.6204,0.31067,0.80147,0.99601,1,0.995,0.87074,0.7338,0.32158,0.80757,0.000722372,0.000722372,0.000722372
55,18593.6,0.61511,0.30814,0.80539,0.99359,1,0.995,0.85669,0.777,0.33534,0.81051,0.00071504,0.00071504,0.00071504
56,18946.6,0.61414,0.30776,0.80119,0.99654,1,0.995,0.87943,0.71833,0.31575,0.80747,0.000707707,0.000707707,0.000707707
57,19282.7,0.61234,0.30855,0.80517,0.99604,1,0.995,0.8751,0.72679,0.32366,0.80732,0.000700374,0.000700374,0.000700374
