epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.082,1.4384,2.55245,0.90989,0.03441,0.67299,0.46538,0.32847,1.04477,4.012,0.85375,0.000361301,0.000361301,0.000361301
2,472.523,1.14135,1.19088,0.85679,0.05808,0.98058,0.90061,0.68386,0.94703,2.95039,0.85967,0.000724391,0.000724391,0.000724391
3,692.576,1.06132,0.97063,0.84741,0.95996,0.97884,0.99489,0.72198,1.02076,1.38391,0.87451,0.00108015,0.00108015,0.00108015
4,914.002,1.13343,0.90366,0.85685,0.95905,0.98256,0.99479,0.73187,0.87952,1.05903,0.85713,0.001078,0.001078,0.001078
5,1136.87,1.00368,0.77933,0.84605,0.97893,0.99372,0.99498,0.7486,0.82465,0.89539,0.85337,0.001067,0.001067,0.001067
6,1373.54,0.98914,0.71333,0.84175,0.97023,0.99413,0.99495,0.77227,0.84525,0.82947,0.8536,0.00105601,0.00105601,0.00105601
7,1602.65,0.99462,0.67905,0.84227,0.98759,0.9963,0.99499,0.79764,0.78752,0.75093,0.84743,0.00104501,0.00104501,0.00104501
8,1822.97,0.97429,0.64877,0.84048,0.99078,0.99654,0.995,0.77632,0.81544,0.71644,0.85333,0.00103401,0.00103401,0.00103401
9,2042.41,0.93556,0.60409,0.83553,0.98388,0.99847,0.99499,0.79359,0.76668,0.67274,0.84448,0.00102301,0.00102301,0.00102301
10,2262.35,0.9226,0.58711,0.83434,0.9908,0.99894,0.995,0.78093,0.75951,0.625,0.84764,0.00101201,0.00101201,0.00101201
11,2498.86,0.92507,0.57317,0.83273,0.99222,0.99634,0.995,0.79021,0.78621,0.59267,0.8498,0.00100101,0.00100101,0.00100101
12,2745.02,0.91382,0.55583,0.83738,0.99301,0.99646,0.99499,0.8067,0.7888,0.59795,0.84951,0.000990012,0.000990012,0.000990012
13,2964.29,0.9084,0.53806,0.83334,0.99137,0.99839,0.995,0.81305,0.69911,0.55246,0.83662,0.000979013,0.000979013,0.000979013
14,3186.16,0.86081,0.51514,0.8304,0.99422,0.99947,0.995,0.81067,0.75423,0.57617,0.84489,0.000968014,0.000968014,0.000968014
15,3404.42,0.90782,0.52595,0.82997,0.9838,0.99577,0.99499,0.78554,0.73598,0.51962,0.84581,0.000957015,0.000957015,0.000957015
16,3627.58,0.88006,0.51558,0.83031,0.9881,0.98772,0.99498,0.8171,0.68944,0.51596,0.83849,0.000946016,0.000946016,0.000946016
17,3852.91,0.84958,0.49767,0.83201,0.98625,0.99836,0.995,0.7998,0.74488,0.50621,0.84351,0.000935018,0.000935018,0.000935018
18,4080.84,0.84261,0.49523,0.82537,0.99417,0.99797,0.995,0.81336,0.74777,0.52293,0.84172,0.000924019,0.000924019,0.000924019
19,4324.98,0.87114,0.49473,0.83075,0.98959,0.99682,0.995,0.80313,0.75814,0.46105,0.84455,0.00091302,0.00091302,0.00091302
20,4558.52,0.86245,0.47996,0.82777,0.99037,0.9963,0.99499,0.81103,0.77336,0.46023,0.84369,0.000902021,0.000902021,0.000902021
21,4788.87,0.87311,0.48052,0.82865,0.98553,0.99772,0.995,0.81023,0.74073,0.47023,0.84127,0.000891022,0.000891022,0.000891022
22,5012.05,0.87752,0.4663,0.8364,0.99332,0.99681,0.995,0.80276,0.75695,0.44928,0.84575,0.000880023,0.000880023,0.000880023
23,5239.69,0.84703,0.45799,0.82819,0.98396,0.99347,0.995,0.80586,0.7255,0.45164,0.83902,0.000869024,0.000869024,0.000869024
24,5457.92,0.8187,0.45793,0.82243,0.99082,0.99808,0.995,0.79502,0.70447,0.43176,0.83652,0.000858025,0.000858025,0.000858025
25,5676.33,0.81822,0.44901,0.82454,0.99321,1,0.995,0.81201,0.71678,0.4312,0.8393,0.000847026,0.000847026,0.000847026
26,5898.47,0.80266,0.44494,0.82101,0.99183,0.99937,0.995,0.81304,0.76085,0.46123,0.84553,0.000836027,0.000836027,0.000836027
27,6122.25,0.79635,0.4312,0.8247,0.99281,0.99571,0.995,0.78693,0.78732,0.43428,0.84558,0.000825029,0.000825029,0.000825029
28,6349.09,0.87194,0.4475,0.82456,0.99277,0.99689,0.99499,0.83336,0.7292,0.42875,0.83759,0.00081403,0.00081403,0.00081403
29,6577.13,0.81673,0.43297,0.81926,0.99086,0.99551,0.995,0.78539,0.75284,0.40493,0.84016,0.000803031,0.000803031,0.000803031
30,6804.86,0.78668,0.41475,0.82425,0.99286,0.99979,0.995,0.80958,0.71506,0.40665,0.83738,0.000792032,0.000792032,0.000792032
31,7035.75,0.78744,0.41338,0.82423,0.99317,1,0.995,0.80141,0.73518,0.40953,0.83902,0.000781033,0.000781033,0.000781033
32,7267.62,0.79527,0.41655,0.82018,0.98862,0.99582,0.995,0.82086,0.70366,0.39997,0.83483,0.000770034,0.000770034,0.000770034
33,7501.16,0.78102,0.41181,0.81924,0.98864,1,0.995,0.79894,0.73213,0.39968,0.83775,0.000759035,0.000759035,0.000759035
34,7733.18,0.78056,0.40539,0.82201,0.99074,0.99699,0.995,0.8191,0.69819,0.3772,0.83533,0.000748036,0.000748036,0.000748036
35,7966.67,0.77597,0.40368,0.8186,0.99039,0.9994,0.995,0.80187,0.69982,0.3789,0.83515,0.000737037,0.000737037,0.000737037
36,8198.69,0.7804,0.40571,0.81793,0.99268,0.99851,0.995,0.80906,0.70826,0.38061,0.83512,0.000726038,0.000726038,0.000726038
37,8452.24,0.75013,0.39078,0.81657,0.99217,0.99743,0.995,0.82493,0.65311,0.34942,0.82985,0.00071504,0.00071504,0.00071504
38,8686.08,0.76292,0.39479,0.82161,0.99165,0.99961,0.995,0.83494,0.70561,0.36065,0.83698,0.000704041,0.000704041,0.000704041
39,8919.72,0.76735,0.40145,0.81759,0.99181,1,0.995,0.8295,0.68289,0.35259,0.83316,0.000693042,0.000693042,0.000693042
40,9150.18,0.79322,0.40752,0.82123,0.99363,1,0.995,0.8199,0.63593,0.34808,0.82895,0.000682043,0.000682043,0.000682043
41,9380.58,0.76828,0.39887,0.81789,0.9882,1,0.995,0.82935,0.64781,0.34232,0.83201,0.000671044,0.000671044,0.000671044
42,9613.38,0.73593,0.38338,0.81365,0.99192,0.99101,0.995,0.80584,0.67563,0.37305,0.83177,0.000660045,0.000660045,0.000660045
43,9846.42,0.73487,0.38685,0.81716,0.99473,1,0.995,0.82216,0.69055,0.37807,0.83407,0.000649046,0.000649046,0.000649046
44,10077.5,0.74147,0.38771,0.81241,0.98513,0.99704,0.995,0.79351,0.77573,0.40586,0.84458,0.000638047,0.000638047,0.000638047
45,10310,0.7522,0.38946,0.81915,0.99141,0.99896,0.995,0.82461,0.71964,0.35284,0.84011,0.000627048,0.000627048,0.000627048
46,10542.7,0.74034,0.37955,0.81555,0.99159,1,0.995,0.8321,0.69238,0.33733,0.83283,0.000616049,0.000616049,0.000616049
47,10775.2,0.72591,0.36875,0.81549,0.98889,1,0.995,0.83838,0.65219,0.33461,0.82889,0.000605051,0.000605051,0.000605051
48,11005.7,0.72202,0.36385,0.81441,0.99137,1,0.995,0.83814,0.64014,0.33919,0.82948,0.000594052,0.000594052,0.000594052
49,11238.2,0.73861,0.37068,0.81648,0.97582,1,0.995,0.83731,0.65039,0.33762,0.83161,0.000583053,0.000583053,0.000583053
50,11467.9,0.7376,0.37363,0.81607,0.99115,1,0.995,0.83219,0.65903,0.33784,0.83152,0.000572054,0.000572054,0.000572054
51,11701.4,0.73659,0.37337,0.81347,0.99212,1,0.995,0.83551,0.65327,0.33753,0.83,0.000561055,0.000561055,0.000561055
52,11929.3,0.7182,0.36623,0.8159,0.97592,1,0.995,0.84448,0.67187,0.32165,0.83333,0.000550056,0.000550056,0.000550056
53,12163.7,0.71159,0.36543,0.81473,0.99336,0.99952,0.995,0.83176,0.68761,0.3415,0.83625,0.000539057,0.000539057,0.000539057
54,12400.1,0.72025,0.37025,0.81469,0.99277,0.99909,0.995,0.83636,0.65273,0.35807,0.82984,0.000528058,0.000528058,0.000528058
55,12636.5,0.7346,0.37385,0.81175,0.99277,0.99921,0.995,0.8346,0.64452,0.33067,0.82899,0.000517059,0.000517059,0.000517059
56,12928.7,0.71299,0.36083,0.816,0.9916,1,0.995,0.84212,0.62996,0.30824,0.82888,0.00050606,0.00050606,0.00050606
57,13236.6,0.71553,0.36253,0.8093,0.98919,1,0.995,0.83219,0.63296,0.325,0.82867,0.000495062,0.000495062,0.000495062
58,13469,0.69109,0.35233,0.81275,0.99174,1,0.995,0.85246,0.63943,0.31246,0.82806,0.000484063,0.000484063,0.000484063
59,13697.8,0.7126,0.36105,0.81088,0.98985,0.9983,0.995,0.83641,0.71504,0.35752,0.8404,0.000473064,0.000473064,0.000473064
60,13927.1,0.71105,0.35438,0.81741,0.98945,1,0.995,0.84349,0.65639,0.33164,0.83093,0.000462065,0.000462065,0.000462065
61,14156.5,0.69351,0.35148,0.81166,0.9923,0.99891,0.995,0.84273,0.64087,0.33138,0.82907,0.000451066,0.000451066,0.000451066
62,14393.3,0.67965,0.34737,0.81079,0.99282,0.99897,0.995,0.8319,0.66305,0.32133,0.83055,0.000440067,0.000440067,0.000440067
63,14623.3,0.69565,0.34893,0.81331,0.99388,1,0.995,0.84069,0.65203,0.31656,0.83132,0.000429068,0.000429068,0.000429068
64,14853.7,0.69593,0.34786,0.81055,0.99199,1,0.995,0.84416,0.63145,0.31949,0.82765,0.000418069,0.000418069,0.000418069
65,15088.1,0.67192,0.33784,0.81152,0.99299,1,0.995,0.85304,0.6492,0.30948,0.82982,0.00040707,0.00040707,0.00040707
66,15321.5,0.68049,0.34455,0.81168,0.99186,1,0.995,0.84321,0.64488,0.31778,0.82959,0.000396071,0.000396071,0.000396071
67,15551.7,0.68229,0.34325,0.80941,0.98988,0.99877,0.995,0.85685,0.63101,0.34999,0.83039,0.000385073,0.000385073,0.000385073
68,15782.5,0.66856,0.34049,0.80785,0.99349,1,0.995,0.84084,0.63042,0.31558,0.82754,0.000374074,0.000374074,0.000374074
69,16014.8,0.65631,0.33068,0.80946,0.99348,1,0.995,0.83825,0.62531,0.30005,0.82881,0.000363075,0.000363075,0.000363075
70,16242.5,0.65936,0.3327,0.80577,0.99356,1,0.995,0.85675,0.63137,0.31505,0.82946,0.000352076,0.000352076,0.000352076
71,16470,0.67357,0.33924,0.80719,0.99224,1,0.995,0.8547,0.61233,0.30206,0.82662,0.000341077,0.000341077,0.000341077
72,16700.3,0.66502,0.3309,0.80643,0.99282,1,0.995,0.85346,0.61242,0.29994,0.82774,0.000330078,0.000330078,0.000330078
73,16931.1,0.65567,0.33008,0.8065,0.99227,1,0.995,0.85433,0.62214,0.29751,0.82919,0.000319079,0.000319079,0.000319079
74,17166.9,0.66568,0.32763,0.80767,0.99078,1,0.995,0.84859,0.6279,0.30001,0.8289,0.00030808,0.00030808,0.00030808
75,17399.5,0.66744,0.32835,0.81027,0.99292,1,0.995,0.85999,0.61943,0.30055,0.82773,0.000297081,0.000297081,0.000297081
76,17645.2,0.64474,0.32271,0.80588,0.99241,1,0.995,0.85767,0.62984,0.29558,0.82936,0.000286083,0.000286083,0.000286083
77,17882,0.64527,0.32071,0.80851,0.99361,1,0.995,0.85829,0.61815,0.30318,0.82728,0.000275084,0.000275084,0.000275084
78,18115,0.64343,0.32027,0.8052,0.99238,1,0.995,0.85504,0.61769,0.30307,0.82759,0.000264085,0.000264085,0.000264085
79,18346,0.63781,0.31844,0.80049,0.99226,1,0.995,0.86321,0.60589,0.28387,0.82565,0.000253086,0.000253086,0.000253086
80,18575.3,0.63568,0.31955,0.80934,0.99119,1,0.995,0.86452,0.6253,0.30033,0.827,0.000242087,0.000242087,0.000242087
81,18804.6,0.64196,0.31995,0.80479,0.99302,1,0.995,0.84757,0.63648,0.29506,0.82923,0.000231088,0.000231088,0.000231088
82,19036.6,0.64708,0.31653,0.80586,0.99226,1,0.995,0.85575,0.60768,0.28575,0.82598,0.000220089,0.000220089,0.000220089
83,19274.2,0.62808,0.31351,0.80455,0.99433,1,0.995,0.86078,0.61797,0.2854,0.82768,0.00020909,0.00020909,0.00020909
84,19505.5,0.62937,0.31241,0.80461,0.99308,1,0.995,0.85575,0.59665,0.27777,0.82572,0.000198091,0.000198091,0.000198091
85,19737.8,0.62007,0.30797,0.80358,0.99289,1,0.995,0.85604,0.59967,0.27689,0.82685,0.000187092,0.000187092,0.000187092
86,19965.6,0.63487,0.31355,0.80795,0.99433,1,0.995,0.85316,0.61429,0.2898,0.82699,0.000176094,0.000176094,0.000176094
87,20198.1,0.61793,0.30846,0.8033,0.99396,1,0.995,0.8504,0.61478,0.27992,0.82743,0.000165095,0.000165095,0.000165095
88,20432.3,0.62174,0.31068,0.80458,0.99425,1,0.995,0.84628,0.62411,0.28413,0.82847,0.000154096,0.000154096,0.000154096
89,20661.8,0.62565,0.31047,0.80182,0.9936,1,0.995,0.86047,0.59637,0.28356,0.82546,0.000143097,0.000143097,0.000143097
90,20888.6,0.62815,0.30978,0.80626,0.99424,1,0.995,0.85785,0.60122,0.27607,0.82733,0.000132098,0.000132098,0.000132098
91,21111.5,0.61436,0.30239,0.80432,0.99329,1,0.995,0.86068,0.59867,0.28225,0.82679,0.000121099,0.000121099,0.000121099
92,21358.1,0.60096,0.29254,0.8031,0.99293,1,0.995,0.85991,0.64182,0.28851,0.83069,0.0001101,0.0001101,0.0001101
93,21599.5,0.60115,0.29328,0.80401,0.99254,1,0.995,0.85533,0.62205,0.29013,0.82771,9.91012e-05,9.91012e-05,9.91012e-05
94,21816.4,0.59706,0.28953,0.80392,0.99228,1,0.995,0.86072,0.61601,0.28023,0.82746,8.81023e-05,8.81023e-05,8.81023e-05
95,22034.9,0.58876,0.28885,0.8052,0.99239,1,0.995,0.85288,0.60826,0.275,0.82687,7.71034e-05,7.71034e-05,7.71034e-05
96,22259.9,0.5878,0.28712,0.79819,0.99318,1,0.995,0.8585,0.60819,0.27909,0.8271,6.61045e-05,6.61045e-05,6.61045e-05
97,22483,0.58323,0.28375,0.80112,0.99335,1,0.995,0.8585,0.61485,0.28196,0.82867,5.51056e-05,5.51056e-05,5.51056e-05
98,22701.6,0.57497,0.28108,0.8041,0.99361,1,0.995,0.85849,0.61095,0.2822,0.82758,4.41067e-05,4.41067e-05,4.41067e-05
99,22923.7,0.56885,0.28037,0.79661,0.99379,1,0.995,0.85395,0.61577,0.27357,0.8274,3.31078e-05,3.31078e-05,3.31078e-05
100,23142.5,0.56894,0.27843,0.79906,0.99359,1,0.995,0.86083,0.60328,0.27102,0.82698,2.21089e-05,2.21089e-05,2.21089e-05
