epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.77,1.77758,3.33148,1.8008,0.01346,0.5394,0.31058,0.19893,1.4096,3.29941,1.46408,0.000360588,0.000360588,0.000360588
2,537.977,1.41632,2.35862,1.55259,0.61786,0.42623,0.47429,0.33154,1.36657,3.51667,1.54215,0.000701977,0.000701977,0.000701977
3,782.918,1.30916,2.03193,1.51466,0.51707,0.59086,0.55615,0.39204,1.30885,2.22703,1.49054,0.00101404,0.00101404,0.00101404
4,1029.74,1.25044,1.90186,1.45281,0.66545,0.63305,0.68257,0.48677,1.50372,2.24646,1.65298,0.000979013,0.000979013,0.000979013
5,1272.72,1.17945,1.74828,1.37004,0.60177,0.70493,0.79699,0.54582,1.14029,1.35617,1.38082,0.000935018,0.000935018,0.000935018
6,1516.24,1.10495,1.66087,1.29905,0.81569,0.63965,0.698,0.49857,1.1517,1.49824,1.35076,0.000891022,0.000891022,0.000891022
7,1758.52,0.99642,1.564,1.22954,0.73187,0.74036,0.80036,0.59808,0.85812,1.29182,1.15163,0.000847026,0.000847026,0.000847026
8,2004.93,0.93403,1.49757,1.17218,0.76009,0.75838,0.85668,0.60833,0.89103,1.1582,1.16578,0.000803031,0.000803031,0.000803031
9,2247.24,0.90466,1.43301,1.15064,0.78987,0.82588,0.90112,0.65365,0.85258,1.14141,1.12095,0.000759035,0.000759035,0.000759035
10,2487.58,0.85857,1.37319,1.12748,0.95242,0.69674,0.87712,0.61738,0.8409,1.00618,1.11024,0.00071504,0.00071504,0.00071504
11,3367.92,0.80142,1.29881,1.10981,0.87171,0.78123,0.86338,0.66551,0.6963,0.99537,1.04713,0.000671044,0.000671044,0.000671044
12,3612.03,0.8018,1.29332,1.07698,0.81502,0.86698,0.93144,0.74491,0.67468,0.96696,0.99899,0.000627048,0.000627048,0.000627048
13,3863.9,0.7642,1.23868,1.07979,0.9334,0.80038,0.90571,0.70725,0.73614,0.98273,1.06163,0.000583053,0.000583053,0.000583053
14,4120.66,0.74087,1.19115,1.04841,0.86061,0.91022,0.93428,0.7415,0.65142,0.91233,0.99857,0.000539057,0.000539057,0.000539057
15,4375.31,0.75785,1.18823,1.03837,0.8443,0.84615,0.88114,0.7351,0.59491,0.96687,0.95531,0.000495062,0.000495062,0.000495062
16,4623,0.71234,1.08872,1.022,0.90892,0.8865,0.94057,0.76837,0.62765,0.84417,0.98207,0.000451066,0.000451066,0.000451066
17,4868.91,0.71357,0.97843,1.00282,0.97572,0.8844,0.94985,0.77103,0.6466,0.68955,0.98537,0.00040707,0.00040707,0.00040707
18,5116.49,0.65652,0.91166,0.98519,0.95613,0.92648,0.96295,0.76808,0.6271,0.70682,0.95511,0.000363075,0.000363075,0.000363075
19,8719.81,0.64829,0.84944,0.97571,0.94098,0.92074,0.96524,0.80235,0.54728,0.65425,0.93705,0.000319079,0.000319079,0.000319079
20,8956.67,0.6474,0.83331,0.96431,0.97207,0.89011,0.96762,0.79864,0.58001,0.63464,0.95416,0.000275084,0.000275084,0.000275084
21,9196,0.63419,0.79943,0.9558,0.98546,0.93208,0.98406,0.8344,0.55045,0.59362,0.93597,0.000231088,0.000231088,0.000231088
22,9435.84,0.59885,0.76629,0.94681,0.97559,0.93711,0.9729,0.83041,0.52046,0.60536,0.92345,0.000187092,0.000187092,0.000187092
23,9676.94,0.59899,0.74392,0.94578,0.98507,0.92498,0.98254,0.83324,0.5136,0.55169,0.92779,0.000143097,0.000143097,0.000143097
24,9917.99,0.57407,0.71012,0.94499,0.97453,0.93498,0.9795,0.839,0.50216,0.55606,0.90716,9.91012e-05,9.91012e-05,9.91012e-05
25,10163.7,0.57558,0.70205,0.93329,0.9825,0.92774,0.98324,0.85166,0.4946,0.52248,0.9092,5.51056e-05,5.51056e-05,5.51056e-05
